Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Registered patients,Value  (Registered patients),Banding Classification  (Registered patients),Electronic prescription service,Value  (Electronic prescription service),Banding Classification  (Electronic prescription service),Weekday evening and weekend appointments offered here or nearby,Value  (Weekday evening and weekend appointments offered here or nearby),Banding Classification  (Weekday evening and weekend appointments offered here or nearby),Online appointment booking,Value  (Online appointment booking),Banding Classification  (Online appointment booking),Order or view repeat prescriptions online,Value  (Order or view repeat prescriptions online),Banding Classification  (Order or view repeat prescriptions online),Car parking (Is there car parking at this organisation?)
Napier Road Surgery,G82763,GPB,151 Napier Road,,,Gillingham,Kent,ME7 4HH,Tel: 01634580480, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Whillier D E & Partners,G82118001,GPB,The Pound,East Peckham,,Tonbridge,Kent,TN12 5AT,Tel: 01622871540, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
P A Patel Surgery,F81032,GPB,85 Hart Road,,,Benfleet,Essex,SS7 3PR,Tel: 01268757981, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Upper Canterbury St Surgery,G82762,GPB,511 Canterbury Street,,,Gillingham,Kent,ME7 5LH,Tel: 01634573020, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Town Centre GP Surgery,Y02463,GPB,14-16 Chapel Street,,,Luton,Bedfordshire,LU1 2SE,Tel: 01582 709290, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Churchfield Medical Centre,E81013001,GPB,322 Crawley Green Road,,,Luton,Bedfordshire,LU2 9SB,, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Larkside Practice,E81026,GPB,Churchfield Medical Centre,322 Crawley Green Road,,Luton,Bedfordshire,LU2 9SB,Tel: 01582722143, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Luton Medical Centre,G82820002,GPB,Luton Medical Centre,10a Beacon Hill,Luton,Chatham,Kent,ME5 7JX,Tel: 01634 406607, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Matrix Medical Practice,G82719,GPB,10a Beacon Hill,Matrix Medical Centre,Chatham,Chatham,Kent,ME5 7JX,Tel: 01634 406607, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Ashdown Forest Health Centre,G81024,GPB,Lewes Road,,,Forest Row,East Sussex,RH18 5AQ,Tel: 01342822131, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Baddow Village Surgery,F81114,GPB,Longmead Avenue,Great Baddow,,Chelmsford,Essex,CM2 7EZ,Tel: 01245473251, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Oaklands Surgery - Canvey Island,F81096,GPB,Long Road,,,Canvey Island,Essex,SS8 0JA,Tel: 01268209339, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Chaudhury Surgery,F81740,GPB,Canvey Central Primary Care Centre,Long Road,,Canvey Island,Essex,SS8 0JA,Tel: 01268686160, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Coachmans Medical Practice,H82098,GPB,Lansbury Road,,,Crawley,West Sussex,RH11 9JA,Tel: 01293583320, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Island Surgery,F81739,GPB,Central Canvey Primary Care Centre,,,Canvey Island,Essex,SS8 0JA,Tel: 01268686190, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Woodlands Park Surgery,K81015,GPB,15 Woodlands Park Road,Woodlands Park,,Maidenhead,Berkshire,SL6 3NW,Tel: 01628825523, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Rusthall Medical Practice,G82152,GPB,Nellington Road,Rusthall,,Tunbridge Wells,Kent,TN4 8UW,Tel: 01892515142, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Redwood House Surgery,K81097,GPB,Redwood House,Cannon Lane,,Maidenhead,Berkshire,SL6 3PH,Tel: 01628826227, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Caddington Surgery,E81069,GPB,33 Manor Road,Caddington,,Luton,Bedfordshire,LU1 4EE,Tel: 01582725673, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Crown Wood Medical Centre,K81656,GPB,4A Crown Row,Crownwood,,Bracknell,Berkshire,RG12 0TH,Tel: 01344310202, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Cressex Health Centre - Lynton House,K82603002,GPB,43 London Road,,,High Wycombe,Buckinghamshire,HP11 1BP,Tel: 01494415788, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Cardiff Road Surgery,E81026002,GPB,The Surgery,12 Cardiff Road,,Luton,Bedfordshire,LU1 1QG,Tel: 01582 722143, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Boundary House Surgery,K81610,GPB,Mount Lane,,,Bracknell,Berkshire,RG12 9PG,Tel: 01344483900, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Malvern Road Surgery,G82775,GPB,Medway Medical Centre,90-92 Malvern Road,,Gillingham,Kent,ME7 4BB,Tel: 01634578333, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Guildowns Group Practice,H81010,GPB,Applegarth Avenue,Park Barn,,Guildford,Surrey,GU2 8LZ,Tel: 01483409309, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Bute House Medical Centre,E81048,GPB,Grove Road,,,Luton,Bedfordshire,LU1 1RW,Tel: 01582729428, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr M MacGregor ,F81127,GPB,27 Humber Road,,,Chelmsford,Essex,CM1 7PE,Tel: 01245204044, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Wenlock Surgery,E81001,GPB,40 Wenlock Street,,,Luton,Bedfordshire,LU2 0NN,Tel: 01582343347, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Lea Vale Medical Group,E81032,GPB,Liverpool Road Health Centre,9 Mersey Place,Liverpool Road,Luton,Bedfordshire,LU1 1HH,Tel: 01582722525, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Wonersh Surgery,H81043,GPB,The Street,Wonersh,,Guildford,Surrey,GU5 0PE,Tel: 01483898123, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Lea Vale Medical Group,E81032002,GPB,Whipperley Medical Centre,Farley Hill,,"131 Whipperley Ring, Luton",Bedfordshire,LU1 5QY,Tel: 01582722525, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Groombridge And Hartfield Med Grp - The Hartfield Surgery,G81614001,GPB,Old Crown Farm,High Street,,Hartfield,East Sussex,TN7 4AD,Tel: 01892 863326, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Forest Health Group,K81610002,GPB,Ringmead,Birch Hill,,Bracknell,Berkshire,RG12 7PG,Tel: 01344421364, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Heatherside Surgery,H81069002,GPB,73 Cumberland Road,,,Camberley,Surrey,GU15 1SE,Tel: 01276 64758, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Forest Health Group,K81610001,GPB,Skimped Hill Health Centre,Skimped Hill Lane,,Bracknell,Berkshire,RG12 1LH,Tel: 01344306613, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Evergreen Practice,K81657,GPB,Skimped Hill Health Centre,,,Bracknell,Berkshire,RG12 1LH,Tel: 01344306936, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Allington Clinic,G82099002,GPB,26 Tichborne Close,Allington,,Maidstone,Kent,ME16 0RY,Tel: 01622679020, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Woodlands Family Practice,G82014,GPB,Woodlands Road,,,Gillingham,Kent,ME7 2BU,Tel: 01634854431, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
College Practice Barming,G82099001,GPB,Marigold Way,Barming,,Maidstone,Kent,ME16 0ZJ,Tel: 01622752345, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Stansted Surgery,F81053,GPB,Castle Maltings,First Floor,2 Lower Street,Stansted Mountfitchet,Essex,CM24 8XG,Tel: 01279813200, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Bell House Medical Centre,E81005,GPB,163 Dunstable Road,,,Luton,Bedfordshire,LU1 1BW,Tel: 01582349889, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Chelmer Village Surgery,F81665,GPB,Ashton Place,,,Chelmsford,Essex,CM2 6ST,Tel: 01245467759, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Prospect House Surgery,K82618,GPB,108 High Street,,,Great Missenden,Buckinghamshire,HP16 0BG,Tel: 01494862325, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Easthampstead Surgery,K81087,GPB,23 Rectory Lane,,,Bracknell,Berkshire,RG12 7BB,Tel: 01344457535, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Priory Surgery,K82053,GPB,24-26 Priory Avenue,,,High Wycombe,Buckinghamshire,HP13 6SH,Tel: 01494448132, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Carrington House Surgery,K82044,GPB,19 Priory Road,,,High Wycombe,Buckinghamshire,HP13 6SL,Tel: 01494523211, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Groombridge and Hartfield Medical Group Main Surgery,G81614,GPB,The Nook,Withyham Road,Groombridge,Tunbridge Wells,Kent,TN3 9QP,Tel: 01892 863326, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Clanricarde Medical Centre,G82025,GPB,Abbey Court,7-15 St Johns Road,,Tunbridge Wells,Kent,TN4 9TF,Tel: 01892546422, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Abbey Court,G82103,GPB,Abbey Court Medical Centre,3rd Floor Abbey Court,7-15 St Johns Road,Tunbridge Wells,Kent,TN4 9TF,Tel: 01892520027, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Doctors House - Marlow Medical Group,K82023,GPB,The Doctors' House,Victoria Road,,Marlow,Buckinghamshire,SL7 1DN,Tel: 01628484666, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Blackthorn Medical Centre,G82098,GPB,St Andrews Road,Barming,,Maidstone,Kent,ME16 9AN,Tel: 01622726277, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Malzeard Road Medical Centre,E81631,GPB,2a Malzeard Road,,,Luton,Bedfordshire,LU3 1BD,Tel: 01582481700, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
REACH HEALTHCARE,G82161002,GPB,Lordswood Community Healthy Living Centre,Lordswood Community,Sultan Road,Chatham,Kent,ME5 8TJ,Tel: 01634 337445, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
REACH HEALTHCARE,G82161004,GPB,Lordswood Community Healthy Living Centre,Lordswood Community Healthy Living Centre,Sultan Road,Chatham,Kent,ME5 8TJ,Tel: 01634 687200, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Wye Valley Surgery,K82030,GPB,,Wye Valley Surgery,Wycombe General Hospital,High wycombe,Buckinghamshire,HP11 2TT,Tel: 01494521044, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Grosvenor & St James Medical Practice,G82041,GPB,23 Upper Grosvenor Road,,,Tunbridge Wells,Kent,TN1 2DX,Tel: 01892544777, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Yalding Surgery,G82141,GPB,Burgess Bank,Benover Road,,Maidstone,Kent,ME18 6ES,Tel: 01622814380, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
"St Dunstan's Chapel, West Hoathley",H82040002,GPB,North Lane,West Hoathley,,East Grinstead,West Sussex,RH19 4QF,, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Chiltern House Medical Centre,K82020,GPB,Chiltern House Medical Centre,45-47 Temple End,,High Wycombe,Buckinghamshire,HP13 5DN,Tel: 01494439149, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
William Harvey Surgery,F81065,GPB,83-85 London Road,,,Rayleigh,Essex,SS6 9HR,Tel: 01268 784003, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Ringmead Medical Practice - Birch Hill ,K81030001,GPB,Birch Hill Medical Centre,Leppington,,Bracknell,Berkshire,RG12 7WW,Tel: 01344208060, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr K Prasad's Practice,E81063,GPB,49 Westbourne Road,,,Luton,Bedfordshire,LU4 8JD,Tel: 01582429953, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Stopsley Village Practice,E81006,GPB,26 Ashcroft Road,Stopsley,,Luton,Bedfordshire,LU2 9AU,Tel: 01582722555, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Pritpal Bath,E81617,GPB,49 Ashcroft Road,Stopsley,,Luton,Bedfordshire,LU2 9AU,Tel: 01582391831, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Mountbatten House Surgery,F81100001,GPB,1 Montgomery Close,North Springfield,,Chelmsford,Essex,CM1 6FF,Tel: 01245467750, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Speldhurst & Greggswood Medical Group,G82022,GPB,Medical Centre,Greggs Wood Road,,Tunbridge Wells,Kent,TN2 3JL,Tel: 01892541444, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Hollies Surgery,F81075,GPB,41 Rectory Road,,,Benfleet,Essex,SS7 2NA,Tel: 01702416966, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr R Khanchandani's Practice,E81028,GPB,9 Blenheim Crescent,,,Luton,Bedfordshire,LU3 1HA,Tel: 01582404012, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Lonsdale Medical Centre Partnership,G82768,GPB,1 Clanricarde Gardens,,,Tunbridge Wells,Kent,TN1 1PE,Tel: 01892530329, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Orchard Surgery,E82126,GPB,Orchard Surgery,Baldock Road,,Buntingford,Hertfordshire,SG9 9DL,Tel: 01763 272410, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Vridhagiri Nandini,G82600,GPB,52 Eastcourt Lane,,,Gillingham,Kent,ME8 6EY,Tel: 01634232144, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Audley Mills Surgery,F81123,GPB,57 Eastwood Road,,,Rayleigh,Essex,SS6 7JF,Tel: 01268209309, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Church View Surgery,F81125,GPB,Burley House,15-17 High Street,,Rayleigh,Essex,SS6 7EW,Tel: 01268 774477, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Riverside Surgery,K82036,GPB,George Street,,,High Wycombe,Buckinghamshire,HP11 2RZ,Tel: 01494526500, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
St James Medical Centre,G82041001,GPB,11 Carlton Road,,,Tunbridge Wells,Kent,TN1 2HW,Tel: 1892541634, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Medina Medical Centre ,E81065,GPB,,Kingsway Health Centre,385 Dunstable Road,Luton,Bedfordshire,LU4 8BY,Tel: 01582722475, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Twydall Clinic,Y02462001,GPB,Twydall Green,,,Gillingham,Kent,ME8 6JY,, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Twydall,Y00449003,GPB,Twydall Green,,,Gillingham,,ME8 6JY,, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Reidy & Partners,K82017,GPB,65 Desborough Avenue,,,High Wycombe,Buckinghamshire,HP11 2SD,Tel: 01494526006, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Downhall Park Surgery,F81704,GPB,49 Rawreth Lane,,,Rayleigh,Essex,SS6 9QD,Tel: 01268780408, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Kingsway Health Centre,Y02332,GPB,385 Dunstable Road,,,Luton,Bedfordshire,LU4 8BY,Tel: 01582847808, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Medical Centre Buntingford,E82130,GPB,White Hart Close,,,Buntingford,Hertfordshire,SG9 9DQ,Tel: 01763271362, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Bower Mount Medical Practice,G82031,GPB,1 Bower Mount Road,,,Maidstone,Kent,ME16 8AX,Tel: 01622756721, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Britannia House Surgery,E81612001,GPB,Unit 14,Britannia Estate,Leagrave Road,Luton,Bedfordshire,LU3 1RJ,Tel: 01582737917, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Hempstead Medical Centre,G82226002,GPB,144 Hempstead Road,Hempstead,,Gillingham,Kent,ME7 3QE,Tel: 01634235531, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Waltham Road Medical Centre,G82184,GPB,4A Waltham Road,,,Gillingham,Kent,ME8 6XQ,Tel: 01634231074, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Hughenden Valley Surgery,K82049,GPB,Valley Road,Hughenden Valley,,High Wycombe,Buckinghamshire,HP14 4LG,Tel: 01494563275, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Kingswood Surgery,G82016,GPB,Kingswood Road,,,Tunbridge Wells,Kent,TN2 4UH,Tel: 01892511833, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
North Chelmsford NHS Healthcare Centre,Y02611,GPB,Sainsbury's,2 White Hart Lane,,Chelmsford,Essex,CM2 5EF,Tel: 03001233366, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Rowan Tree Surgery,G82025001,GPB,Rowan Tree Road,Rowan Tree Road,,Tunbridge Wells,Kent,TN2 5PX,Tel: 01892573108, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Jk Marsden's Practice,E81018,GPB,30 Woodland Avenue,,,Luton,Bedfordshire,LU3 1RW,Tel: 01582572239, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Woodlands Health Centre,G82118,GPB,1-7 Allington Road,Paddock Wood,,Tonbridge,Kent,TN12 6AX,Tel: 01892833331, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Great Hollands Practice,K81094,GPB,Great Hollands Square,,,Bracknell,Berkshire,RG12 8WY,Tel: 01344424373, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Ringmead Medical Practice - Great Hollands,K81030,GPB,Great Hollands Health Centre,Great Hollands Square,,Bracknell,Berkshire,RG12 8WY,Tel: 01344208060, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Lister House Surgery,E81016,GPB,473-475 Dunstable Road,,,Luton,Bedfordshire,LU4 8DG,Tel: 01582578989, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Upper Gordon Road Surgery,H81075,GPB,37 Upper Gordon Road,,,Camberley,Surrey,GU15 2HJ,Tel: 01276459040, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Tower House Surgery,K82010,GPB,169 West Wycombe Road,,,High Wycombe,Buckinghamshire,HP12 3AF,Tel: 01494526840, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Lea Vale Medical Group ,E81032001,GPB,131 Bushmead Road,131 Bushmead Road,Bushmead,Luton,Bedfordshire,LU2 7YT,Tel: 01582484883, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Vine Medical Centre,G82164,GPB,13 Tonbridge Road,,,Maidstone,Kent,ME16 8RL,Tel: 01622754898, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Pump Lane Surgery,G82635,GPB,13 Pump Lane,Rainham Mark,,Gillingham,Kent,ME8 7AA,Tel: 01634231856, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Cressex Health Centre,K82603,GPB,Coronation Road,Cressex Business Park,,High Wycombe,Buckinghamshire,HP12 3PP,Tel: 01494415788, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Waterfield House Surgery,G82155,GPB,Waterfield House,186 Henwood Green Road,Pembury,Tunbridge Wells,Kent,TN2 4LR,Tel: 01892825488, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Little Waltham & Great Notley Surgeries,F81105,GPB,30 Brook Hill,,,Chelmsford,Essex,CM3 3LL,Tel: 01245360253, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
"Drs Johnson, Garrett & Mitchell",G82089,GPB,4 Brewer Street,,,Maidstone,Kent,ME14 1RU,Tel: 01622755401, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Normandy Branch Surgery,H81064001,GPB,19 Glaziers Lane,Glaziers Lane,,Guildford,Surrey,GU3 2DD,Tel: 01483813274, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Cranleigh Medical Practice,H81052,GPB,18 High Street,,,Cranleigh,Surrey,GU6 8AE,Tel: 01483273951, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Holbrook Surgery,H82640,GPB,Bartholomew Way,,,Horsham,West Sussex,RH12 5JL,Tel: 01403339818, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Binfield Surgery,K81060,GPB,Terrace Road North,Binfield,,Bracknell,Berkshire,RG42 5JG,Tel: 01344 286264, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Park Road Group Practice,H81069,GPB,143 Park Road,,,Camberley,Surrey,GU15 2NN,Tel: 01276670056, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The John Hampden Surgery,K82035,GPB,97 High Street,Prestwood,,Great Missenden,Buckinghamshire,HP16 9EU,Tel: 01494890900, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Elsenham Surgery,F81111,GPB,Station Road,Elsenham,,Bishops Stortford,Hertfordshire,CM22 6LA,Tel: 01279814730, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Conner & Partners,F81061,GPB,175 Ferry Road,Hullbridge,,Hockley,Essex,SS5 6JH,Tel: 01702230555, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Gardenia & Marsh Farm Practice,E81041,GPB,2A Gardenia Avenue,,,Luton,Bedfordshire,LU3 2NS,Tel: 01582346259, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Wigmore Medical Centre,G82226,GPB,114 Woodside Road,Wigmore,,Gillingham,Kent,ME8 0PW,Tel: 01634231752, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Chequers Surgery,K82049001,GPB,3 Chequers Drive,Prestwood,,Great Missenden,Buckinghamshire,HP16 9DU,Tel: 01494863899, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The College Practice,G82099,GPB,50-52 College Road,,,Maidstone,Kent,ME15 6SB,Tel: 01622752345, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Bartlett Group Practice - Frimley Green,H81013,GPB,Frimley Green Medical Centre,1 Beech Road,Frimley Green,Camberley,Surrey,GU16 6QQ,Tel: 01252835016, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Albion Place Medical Practice,G82017,GPB,23-29 Albion Place,,,Maidstone,Kent,ME14 5DY,Tel: 01622235613, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
DMC St Werburgh Medical Practice,G82233001,GPB,Stoke Village Hall,Mallard Way,Lower Stoke,Rochester,Kent,ME3 9ST,Tel: 01634271347, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Highlands Surgery,F81112,GPB,1643 London Road,,,Leigh On Sea,Essex,SS9 2SQ,Tel: 01702710131, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Kingsway Surgery,F81170,GPB,42 Kings Way,South Woodham Ferrers,,Chelmsford,Essex,CM3 5QH,Tel: 01245321391, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Binscombe Medical Centre,H81026,GPB,106 Binscombe,,,Godalming,Surrey,GU7 3PR,Tel: 01483415115, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Mill Medical Practice,H81021,GPB,Catteshall Mill,Catteshall Road,,Godalming,Surrey,GU7 1JW,Tel: 01483239903, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Wyncroft Surgery,F81674,GPB,3 Priory Road,Bicknacre,,Chelmsford,Essex,CM3 4EY,Tel: 01245224253, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Portmill Surgery,E82044,GPB,114 Queen Street,,,Hitchin,Hertfordshire,SG4 9TH,Tel: 01462434246, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Hertfordshire Zts Provider,Y06095,GPB,The Treatment Centre,Portmill House,Portmill Lane,Hitchin,Hertfordshire,SG5 1DJ,Tel: 0333 2001220, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Maidstone Road Rainham Surgery,G82180,GPB,53A/B Maidstone Road,Rainham,,Gillingham,Kent,ME8 0DP,Tel: 01634231423, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Brickfields Surgery,F81721,GPB,Crouch Vale Medical Centre,Burnham Road,South Woodham Ferrers,Chelmsford,Essex,CM3 5QP,Tel: 01245328855, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Sajid Mehmood,E81633,GPB,5 Neville Road,,,Luton,Bedfordshire,LU3 2JG,Tel: 01582563373, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Gillets Surgery,H82615001,GPB,Deanland Road,,,Balcombe,West Sussex,RH17 6PH,Tel: 01444405750, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Oakley Surgery,E81025,GPB,Addington Way,Off Oakley Road,,Luton,Bedfordshire,LU4 9FJ,Tel: 01582496050, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Leagrave Surgery,E81010,GPB,37A Linden Road,,,Luton,Bedfordshire,LU4 9QZ,Tel: 01582572817, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
John Tasker House Surgery,F81118,GPB,56 New Street,,,Dunmow,Essex,CM6 1BH,Tel: 01371872121, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Parkwood Family Practice,G82721,GPB,119-121 Long Catlis Road,"Parkwood, Rainham",,Gillingham,Kent,ME8 9RR,Tel: 01634269610, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Thames Ave Surgery,G82154,GPB,2 Thames Avenue,Rainham,,Gillingham,Kent,ME8 9BW,Tel: 01634360486, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Knowl Hill Outreach Surgery,K81055002,GPB,14 The Terrace,Knowl Hill,,Reading,Berkshire,RG10 9XB,Tel: 0118 9403939, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Bancroft Medical Centre - Orford Lodge,E82053001,GPB,Orford Lodge,100 Bancroft,,Hitchin,Hertfordshire,SG5 1ND,Tel: 01462654040, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Long Catlis Road Surgery,G82737,GPB,Parkwood Health Centre,Long Catlis Road,,Rainham,Kent,ME8 9PR,Tel: 01634233491, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Parkwood Health Centre,G82727003,GPB,Long Catlis Road,,,Gillingham,Kent,ME8 9PR,Tel: 01634371535, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Peter Linn,F81090,GPB,Angel Lane,,,Dunmow,Essex,CM6 1AQ,Tel: 01371872122, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Bancroft Medical Centre - Courtenay House,E82053,GPB,Bancroft Court,30 - 35 Bancroft,,Hitchin,Hertfordshire,SG5 1LH,Tel: 01462 654040, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
