Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Care Quality Commission inspection ratings,Value  (Care Quality Commission inspection ratings),Banding Classification  (Care Quality Commission inspection ratings),Recommended by staff,Value  (Recommended by staff),Banding Classification  (Recommended by staff),Mortality rate (in hospital and up to 30 days after discharge),Value  (Mortality rate (in hospital and up to 30 days after discharge)),Banding Classification  (Mortality rate (in hospital and up to 30 days after discharge)),Food: Choice and Quality,Value  (Food: Choice and Quality),Banding Classification  (Food: Choice and Quality),Car parking (Is there car parking at this organisation?),A&E (A&E onsite Comparison),Disabled access (Disabled access),Induction loop (Induction loop in place)
St Albans City Hospital,RWG03,HOS,Waverley Road,,,St. Albans,Hertfordshire,AL3 5PN,Tel: 01727 866122,130 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWG03,,,Inadequate Visit CQC profile - http://www.cqc.org.uk/location/RWG03,4,cqc-inadequate,Within expected range with a value of 56%,56,ok,Number of deaths within the expected range,0.994,ok,83.89% Among the best,83.89%,Tick,yes,,yes,no
BMI The Runnymede Hospital,NT431,HOS,Guildford Road,Ottershaw,,Chertsey,Surrey,KT16 0RQ,Tel: 01932 877800,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT431,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128767168,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,91.64%,Tick,yes,,yes,yes
Spire Thames Valley Hospital,NT343,HOS,Wexham Street,Wexham,,Slough,Berkshire,SL3 6NH,Tel: 01753 662 241,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT343,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-2745569338,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,95.28%,Tick,yes,,yes,yes
Wexham Park Hospital,RDU50,HOS,Wexham Park,,,Slough,Berkshire,SL2 4HL,Tel: 01753 633000,202 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDU50,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RDU50,2,cqc-good,Within expected range with a value of 79%,79,ok,Number of deaths within the expected range,0.964,ok,,91.11%,Tick,yes,,yes,yes
St Peter's Hospital,RTK01,HOS,Guildford Road,,,Chertsey,Surrey,KT16 0PZ,Tel: 01932 872000,197 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RTK01,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RTK01,2,cqc-good,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.008,ok,93.78% Among the best,93.78%,Tick,yes,,yes,no
Cygnet Hospital Godden Green,NMJ01,HOS,Cygnet Hospital Godden Green,Godden Green,,Sevenoaks,Kent,TN15 0JR,Tel: 01732 763 491,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMJ01,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-130486742,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Chalfonts and Gerrards Cross Hospital,RXQ64,HOS,,Hampden Road,,Chalfont St Peter,,SL9 9DR,Tel: 01753 883821,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXQ64,0,0,No rating Visit CQC profile - http://www.cqc.org.uk/location/RXQ64,5,cqc-norating,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.984,ok,No relevant data available,,doesnotapply,,,,
Upton Hospital,RWX85,HOS,,Albert Street,,Slough,Berkshire,SL1 2BJ,Tel: 01753 821441,20 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWX85,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RWX85,5,cqc-norating,Within expected range with a value of 75%,75,ok,Not available for independent or specialist hospitals,,doesnotapply,,95.75%,Tick,yes,,yes,yes
Lakeside Medical Diagnostics - Billericay Community Hospital,NBI02,HOS,Billericay Community Hospital,Blunts Wall Road,,Billericay,Essex,CM12 9SA,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NBI02,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Dorking Community Hospital,RTP25,HOS,,St Pauls Road West,Horsham Road,Dorking,Surrey,RH4 2AA,Tel: 01306 646 220,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RTP25,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,,
Rivers Hospital,NVC19,HOS,High Wych Road,,,Sawbridgeworth,Hertfordshire,CM21 0HH,Tel: 01279 600282,34 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVC19,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128733105,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,97.07%,Tick,yes,,yes,no
Queen Victoria Memorial Hospital,RY412,HOS,School Lane,,,Welwyn,Hertfordshire,AL6 9PW,Tel: 01438 841800,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RY412,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RY412,5,cqc-norating,Within expected range with a value of 75%,75,ok,Not available for independent or specialist hospitals,,doesnotapply,,90.61%,Tick,,,,
BMI The Princess Margaret Hospital,NT428,HOS,,Osborne Road,,Windsor,Berkshire,SL4 3SJ,Tel: 01753 743434,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT428,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128767105,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,91.18%,Tick,yes,,yes,yes
Hrh Princess Christian's Hospital,RA228,HOS,12 Clarence Road,,,Windsor,Berkshire,SL4 5AD,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RA228,0,0,Not yet rated,,doesnotapply,Among the best with a value of 80%,80,tick,Lower number of deaths than expected,0.782,tick,No relevant data available,,doesnotapply,,,,
Prince Charles Eye Unit,RHW03,HOS,St Leonards Road,,,Windsor,Berkshire,SL4 3DP,Tel: 01753 860 441,33 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RHW03,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RHW03,5,cqc-norating,Within expected range with a value of 77%,77,ok,Number of deaths within the expected range,1.100,ok,No relevant data available,,doesnotapply,yes,,,
King Edward Vii,RWX80,HOS,St. Leonards Road,,,Windsor,Berkshire,SL4 3DP,Tel: 01753 860441,11 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWX80,,,Not yet rated,,doesnotapply,Within expected range with a value of 75%,75,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
Edenbridge War Memorial Hospital,RYYD4,HOS,Edenbridge and District War Memorial Hospital,Mill Hill,,Edenbridge,Kent,TN8 5DA,Tel: 01732 863164,17 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYYD4,,,Not yet rated,,doesnotapply,Within expected range with a value of 72%,72,ok,Not available for independent or specialist hospitals,,doesnotapply,92.41% Among the best,92.41%,Tick,yes,,yes,no
Basildon University Hospital,RDDH0,HOS,Nethermayne,,,Basildon,Essex,SS16 5NL,Tel: 01268 524900,451 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDDH0,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RDDH0,2,cqc-good,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.011,ok,92.00% Among the best,92.00%,Tick,yes,,yes,yes
Hemel Hempstead Hospital,RWG08,HOS,,Hillfield Road,,Hemel Hempstead,Hertfordshire,HP2 4AD,Tel: 01442 213141,63 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWG08,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RWG08,3,cqc-requiresimp,Within expected range with a value of 56%,56,ok,Number of deaths within the expected range,0.994,ok,89.86% Among the best,89.86%,Tick,yes,,yes,no
Priory Hospital Hemel Hempstead,NTN03,HOS,Longcroft Lane,Felden,,Hemel Hempstead,Hertfordshire,HP3 0BN,Tel: 01442 255 371,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTN03,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-127047829,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,Data not available,,Data not available,Data not available
"Nuffield Health, Woking Hospital",NT241,HOS,,Shores Road,,Woking,Surrey,GU21 4BY,Tel: 0800 015 5020,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT241,0,0,Good Visit CQC profile - http://www.cqc.org.uk/location/1-115574838,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,98.10%,Tick,yes,,yes,Data not available
Spire Gatwick Park Hospital,NT308,HOS,Povey Cross Road,,,Horley,Surrey,RH6 0BB,Tel: 01293 778917,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT308,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-129798171,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,98.53%,Tick,yes,,yes,yes
Woking Community Hospital (Virgin Care),NDA18,HOS,,Heathside Road,,Woking,Surrey,GU22 7HS,Tel: 01483 715911,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NDA18,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
The Huntercombe Hospital Maidenhead,NV201,HOS,Huntercombe Lane South,Taplow,,Maidenhead,Berkshire,SL6 0PQ,Tel: 01628 667881,15 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NV201,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-130101073,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,no
Spire Harpenden Hospital,NT316,HOS,Spire Harpenden Hospital,Ambrose Lane,,Harpenden,,AL5 4BP,Tel: 01582 763191,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT316,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-129798190,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,95.09%,Tick,yes,,yes,yes
Amersham Hospital,RXQ51,HOS,Amersham Hospital,Whielden Street,,Amersham,Buckinghamshire,HP7 0JD,Tel: 01494 434411,22 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXQ51,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RXQ51,3,cqc-requiresimp,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.984,ok,92.35% Among the best,92.35%,Tick,yes,,yes,no
Queen Victoria Hospital (East Grinstead),RPC04,HOS,,Holtye Road,,East Grinstead,West Sussex,RH19 3DZ,Tel: 01342 414000,79 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPC04,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RPC04,2,cqc-good,Among the best with a value of 88%,88,tick,Not available for independent or specialist hospitals,,doesnotapply,89.19% Among the best,89.19%,Tick,yes,,yes,yes
Langley Green Hospital,RX2P0,HOS,,Martyrs Avenue,,Crawley,West Sussex,RH11 7EJ,Tel: 01293 590400,12 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RX2P0,,,Not yet rated,,doesnotapply,Within expected range with a value of 57%,57,ok,Not available for independent or specialist hospitals,,doesnotapply,89.06% Among the best,89.06%,Tick,yes,,yes,yes
Cygnet Hospital Woking,NMJ24,HOS,Redding Way,Knaphill,,Woking,Surrey,GU21 2QS,Tel: 01483 795 100,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMJ24,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Priory Hospital Woking,NTN11,HOS,,Chobham Road,Knaphill,Woking,Surrey,GU21 2QF,Tel: 01483 489 211,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTN11,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-127132331,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,no,yes
Herts & Essex Hospital,RY409,HOS,Haymeads Lane,Oxford and Cambridge Wards,,Bishop's Stortford,Hertfordshire,CM23 5JH,Tel: 01279 655191,30 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RY409,,,Not yet rated,,doesnotapply,Within expected range with a value of 75%,75,ok,Not available for independent or specialist hospitals,,doesnotapply,,87.35%,Tick,,,,
Heatherwood Hospital,RDU25,HOS,London Road,,,Ascot,Berkshire,SL5 8AA,Tel: 01753 633000,32 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDU25,,,Not yet rated,,doesnotapply,Within expected range with a value of 79%,79,ok,Number of deaths within the expected range,0.964,ok,No relevant data available,,doesnotapply,,,,
St Johns Hospital,RP408,HOS,Wood Street,,,Chelmsford,Essex,CM2 9BG,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RP408,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Crawley Hospital- Sussex Community NHS Trust,RDR3E,HOS,West Green Drive,,,Crawley,West Sussex,RH11 7DH,,28 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDR3E,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RDR3E,5,cqc-norating,Within expected range with a value of 78%,78,ok,Not available for independent or specialist hospitals,,doesnotapply,,92.78%,Tick,,,,
Tonbridge Cottage Hospital,RYYDC,HOS,Tonbridge Cottage Hospital,Vauxhall Lane,,Tonbridge,Kent,TN11 0NE,Tel: 01732 353653,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYYDC,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RYYDC,5,cqc-norating,Within expected range with a value of 72%,72,ok,Not available for independent or specialist hospitals,,doesnotapply,93.48% Among the best,93.48%,Tick,yes,,yes,no
Basildon Hospital - Dermatology Benfleet,RDD03,HOS,Tyrells Health Centre,Seamore Avenue,,Benfleet,Essex,SS7 4EX,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDD03,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.011,ok,No relevant data available,,doesnotapply,,,,
BMI Mount Alvernia Hospital,NT455,HOS,46 Harvey Road,,,Guildford,Surrey,GU1 3LX,Tel: 01483 570122,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT455,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128767043,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,91.43%,Tick,yes,,yes,yes
The Chelmsford Private Day Surgery Hospital,RF4CM,HOS,Fenton House,85-89 New London Road,,Chelmsford,Essex,CM2 0PP,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RF4CM,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 63%,63,ok,Number of deaths within the expected range,0.982,ok,No relevant data available,,doesnotapply,,,,
Medtel Hospital,RQ8MM,HOS,Fenton House,85-89 New London Road,,Chelmsford,Essex,CM2 0PP,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQ8MM,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.130,ok,No relevant data available,,doesnotapply,,,,
St Mark's Hospital,RWX84,HOS,St Mark's Road,Maidenhead,,Berkshire,Berkshire,SL6 6DU,Tel: 01628 632012,20 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWX84,,,Not yet rated,,doesnotapply,Within expected range with a value of 75%,75,ok,Not available for independent or specialist hospitals,,doesnotapply,,97.09%,Tick,yes,,yes,yes
Medway Maritime Hospital,RPA02,HOS,Windmill Road,,,Gillingham,Kent,ME7 5NY,Tel: 01634 830 000,297 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPA02,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RPA02,3,cqc-requiresimp,Within expected range with a value of 55%,55,ok,Number of deaths within the expected range,1.117,ok,81.45% Among the best,81.45%,Tick,yes,,yes,no
Spire Tunbridge Wells Hospital,NT310,HOS,Fordcombe Road,Fordcombe,,Tunbridge Wells,Kent,TN3 0RD,Tel: 01892 740 047,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT310,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-129798450,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,97.97%,Tick,yes,,yes,yes
Baddow Hospital,AND01,HOS,West Hanningfield Road,Great Baddow,,Chelmsford,Essex,CM2 8HN,Tel: 01245 474070,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=AND01,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-714843794,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Farnham Road Hospital,RXX22,HOS,Farnham Road,,,Guildford,Surrey,GU2 7LX,Tel: 0300 5555 222,12 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXX22,,,Not yet rated,,doesnotapply,Within expected range with a value of 62%,62,ok,Not available for independent or specialist hospitals,,doesnotapply,86.80% Among the best,86.80%,Tick,,,,
BMI The Chiltern Hospital,NT410,HOS,,London Road,,Great Missenden,Buckinghamshire,HP16 0EN,Tel: 01494 890890,11 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT410,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-128758622,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,92.59%,Tick,yes,,yes,no
Lister Hospital,RWH01,HOS,Coreys Mill Lane,,,Stevenage,Hertfordshire,SG1 4AB,Tel: 01438 314333,468 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWH01,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RWH01,3,cqc-requiresimp,Within expected range with a value of 63%,63,ok,Number of deaths within the expected range,0.905,ok,93.49% Among the best,93.49%,Tick,yes,,yes,no
Basildon Hospital - Dermatology Canvey Island,RDD02,HOS,Canvey Island Long Road Clinic,Long Road,,Canvey Island,Essex,SS8 0JA,,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDD02,,,Not yet rated,,doesnotapply,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.011,ok,No relevant data available,,doesnotapply,,,,
Spire Alexandra Hospital,NT312,HOS,Impton Lane,,,Chatham,Kent,ME5 9PG,Tel: 01634 687166,10 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT312,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-129783078,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,99.05%,Tick,yes,,yes,yes
Burrswood Health and Wellbeing,NQG01,HOS,Burrswood,Groombridge,,Tunbridge Wells,Kent,TN3 9PY,Tel: 01892 863637,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NQG01,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
Royal Surrey County Hospital,RA201,HOS,Royal Surrey County Hospital,Egerton Road,,Guildford,Surrey,GU2 7XX,Tel: 01483 571122,277 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RA201,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RA201,2,cqc-good,Among the best with a value of 80%,80,tick,Lower number of deaths than expected,0.782,tick,92.72% Among the best,92.72%,Tick,yes,,yes,yes
Cygnet Hospital Stevenage,NMJ11,HOS,,Graveley Road,,Stevenage,,SG1 4YS,Tel: 01438 342942,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMJ11,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-130486821,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Priory Hospital Chelmsford,NTN07,HOS,Stump Lane,Springfield Green,,Chelmsford,Essex,CM1 7SJ,Tel: 01245 345 345,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTN07,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-127132186,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,no,no
"Nuffield Health, Guildford Hospital",NT216,HOS,,Stirling Road,,Guildford,Surrey,GU2 7RF,Tel: 01483 555800,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT216,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-115574498,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,96.08%,Tick,yes,,,
Optegra Eye Hospital Guildford,NNH03,HOS,10 Alan Turing Road,Surrey Research Park,,Guildford,Surrey,GU2 7YF,Tel: 01483 903 001,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NNH03,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,,
Priority House,RXYP8,HOS,Hermitage Lane,,,Maidstone,Kent,ME16 9QQ,Tel: 01622 725000,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXYP8,,,Not yet rated,,doesnotapply,Within expected range with a value of 58%,58,ok,Not available for independent or specialist hospitals,,doesnotapply,86.67% Among the best,86.67%,Tick,,,yes,yes
Maidstone Hospital,RWF03,HOS,,Hermitage Lane,,Maidstone,Kent,ME16 9QQ,Tel: 01622 729000,107 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWF03,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RWF03,3,cqc-requiresimp,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.032,ok,91.18% Among the best,91.18%,Tick,yes,,yes,no
Springfield Hospital,NVC18,HOS,Lawn Lane,,,Chelmsford,Essex,CM1 7GU,Tel: 01245 234 000,30 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVC18,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128733123,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,97.33%,Tick,yes,,yes,yes
Marlow Community Hospital,RXQ65,HOS,,Victoria Road,,Marlow,,SL7 1DJ,Tel: 01628 482292,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXQ65,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.984,ok,No relevant data available,,doesnotapply,,,,
Wycombe Hospital,RXQ50,HOS,Wycombe Hospital,Queen Alexandra Road,,High Wycombe,Buckinghamshire,HP11 2TT,Tel: 01494 526 161,165 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXQ50,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RXQ50,2,cqc-good,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.984,ok,74.66% Within the middle range,74.66%,OK,yes,,yes,no
Broomfield Hospital,RQ8L0,HOS,,Court Road,,Chelmsford,Essex,CM1 7ET,Tel: 01245 362000,334 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQ8L0,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RQ8L0,3,cqc-requiresimp,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.130,ok,89.00% Among the best,89.00%,Tick,yes,,yes,no
BMI The Shelburne Hospital,NT435,HOS,,Queen Alexandra Road,,High Wycombe,Buckinghamshire,HP11 2TR,Tel: 01494 888700,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT435,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-128767252,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,93.34%,Tick,yes,,yes,no
Kent And Sussex Hospital,RN7C1,HOS,Mount Ephraim,,,Tunbridge Wells,Kent,TN4 8AT,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RN7C1,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Number of deaths within the expected range,1.062,ok,No relevant data available,,doesnotapply,,,,
Tunbridge Wells Hospital at Pembury,RWFTW,HOS,Tunbridge Wells Hospital,Pembury,,Tunbridge Wells,Kent,TN2 4QJ,Tel: 01892 823535,139 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWFTW,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RWFTW,3,cqc-requiresimp,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.032,ok,93.99% Among the best,93.99%,Tick,,,,
The Somerfield Hospital,RPA88,HOS,63-77 London Road,,,Maidstone,Kent,ME16 0DU,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPA88,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 55%,55,ok,Number of deaths within the expected range,1.117,ok,No relevant data available,,doesnotapply,,,,
"Nuffield Health, Tunbridge Wells Hospital",NT239,HOS,,Kingswood Road,,Tunbridge Wells,Kent,TN2 4UL,Tel: 0800 015 5020,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT239,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-115574778,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,88.46%,Tick,,,,
